"Dir",270,266.455,262.5031,257.7442,252.0428,245.0929,235.08,0,0
0,1.03,0.6515796,0.8416684,0.7646155,0.582952,0.3360945,0.3223371,0,0
177,1.03,0.6136228,0.7996053,0.724767,0.5484683,0.3126988,0.334613,0,0
276,1.01,0.612322,0.7958406,0.721833,0.5474456,0.3130757,0.3246332,0,0
1640,0.43,0.8983888,1.04658,0.9811525,0.8274097,0.6003044,0.2240815,0,0
2625,0.52,0.5970468,0.7223073,0.6686931,0.542228,0.3579552,0.1205269,0,0
3937,0.45,0.3853171,0.4793196,0.4400005,0.347166,0.2146495,0.1143065,0,0
5906,0.58,0.1687101,0.127297,0.1529664,0.204366,0.2763823,0.3954314,0,0
7218,0.56,0.4298069,0.4157438,0.4229482,0.4390383,0.4623515,0.5010498,0,0
7874,0.51,0.5205811,0.5217322,0.5211587,0.5198612,0.5179678,0.5148073,0,0
