"Dir",270,265.9982,259.9567,251.086,238.1705,219.6148,191.4055,0,0
0,0.43,1.168338,1.224395,1.107712,0.9626715,0.7746906,0.2521113,0,0
177,0.43,1.132193,1.187047,1.073155,0.9315662,0.7479405,0.2386227,0,0
276,0.39,1.151932,1.205855,1.092911,0.9525682,0.7709748,0.2636783,0,0
1640,0.41,0.8534244,0.898222,0.8071805,0.693898,0.5462079,0.14852,0,0
2625,0.39,0.672271,0.7102957,0.6346502,0.5404828,0.4171394,0.1035777,0,0
3937,0.43,0.3645272,0.3945356,0.3421604,0.2774823,0.1920343,0.1368618,0,0
5906,0.76,0.3686517,0.358525,0.393532,0.4331922,0.4780106,0.6057373,0,0
7218,0.8,0.6761877,0.6725489,0.6830053,0.695357,0.7098983,0.7509627,0,0
7874,0.8200001,0.8300621,0.8303654,0.8295283,0.8285308,0.8273435,0.8239925,0,0
